car_id,brand,model,year,mileage,engine_size,fuel_type,transmission,owner_count,accident_history,service_history,color,price
1,Volvo,Truck,2008,27807,1.6,Hybrid,Automatic,2,0,None,Gray,36103.95
2,Audi,Minivan,2003,109965,1.9,Petrol,Automatic,3,0,Partial,Silver,30057.14
3,Chevrolet,Minivan,2018,93289,2.1,Hybrid,CVT,0,0,Partial,Blue,37595.69
4,Hyundai,Minivan,2023,37267,3.8,Diesel,Manual,3,0,Full,Black,36557.65
5,Honda,Coupe,2013,58802,4.9,Petrol,Automatic,1,0,Partial,Green,22923.95
6,Jaguar,Minivan,2004,107428,2.6,Petrol,Automatic,1,0,Full,Blue,38279.25
7,Chevrolet,Convertible,2017,34230,1.4,Electric,Automatic,0,1,None,Blue,27034.67
8,Porsche,Truck,2009,18789,3.3,Electric,Automatic,0,0,Full,Blue,83186.1
9,Volvo,Minivan,2018,70053,4.7,Hybrid,Automatic,2,0,Partial,Green,45762.78
10,Toyota,Sedan,2011,12427,2.1,Electric,Automatic,4,0,Partial,Red,35670.24
11,BMW,Coupe,2017,24594,2.1,Hybrid,Manual,4,0,Full,Blue,63470.36
12,Volvo,Convertible,2016,100394,5.7,Petrol,Automatic,1,0,Partial,Silver,62602.68
13,Honda,Sedan,2023,64444,5.8,Petrol,Automatic,1,0,Partial,Blue,42094.48
14,Honda,Sedan,2010,25859,6.0,Petrol,Automatic,1,0,Partial,Gray,28473.04
15,Jaguar,Sedan,2002,12087,5.0,Petrol,Automatic,3,0,Full,White,37690.58
16,Porsche,Sedan,2022,22000,1.9,Petrol,Automatic,4,0,Full,Silver,58276.44
17,Audi,Truck,2016,16711,2.1,Diesel,Automatic,0,0,Full,Blue,78971.77
18,Jaguar,Minivan,2000,9684,2.7,Hybrid,Manual,1,0,Full,Blue,43374.51
19,Jaguar,Hatchback,2014,67998,2.6,Hybrid,Automatic,5,0,Full,Gray,46144.55
20,BMW,Truck,2008,14522,5.8,Diesel,Automatic,2,0,Partial,Silver,67998.48
21,Lexus,Truck,2014,30272,4.9,Electric,Manual,0,0,Full,Red,67881.63
22,Porsche,Convertible,2023,24376,4.6,Diesel,Manual,0,1,Partial,Red,51579.83
23,Mercedes,Convertible,2002,201084,1.9,Hybrid,Manual,0,0,Full,Black,65101.1
24,Jaguar,Minivan,2021,24804,5.5,Diesel,CVT,4,0,Full,Red,51805.78
25,Ford,Hatchback,2018,4168,5.1,Petrol,Manual,1,0,Full,Green,43120.35
26,Nissan,Convertible,2012,4705,1.8,Electric,Automatic,2,1,Partial,Green,30294.24
27,Lexus,Minivan,2011,44671,5.4,Petrol,Manual,3,0,Partial,Gray,29729.04
28,Mercedes,Minivan,2019,45735,2.4,Diesel,Automatic,2,0,Full,Red,62187.53
29,Kia,SUV,2000,27129,1.4,Petrol,Automatic,2,0,Full,Gray,21954.27
30,Ford,Hatchback,2020,28267,4.3,Diesel,Automatic,5,1,Full,Silver,28676.83
31,Porsche,Convertible,2016,2772,4.3,Electric,Automatic,2,0,Partial,Black,91151.18
32,Tesla,Hatchback,2012,36340,1.5,Petrol,Automatic,3,0,Partial,Blue,47483.93
33,Ford,Truck,2000,35133,2.6,Hybrid,Automatic,2,0,Partial,Blue,26341.07
34,Toyota,Truck,2009,8099,6.0,Petrol,Automatic,5,0,Full,Blue,37179.18
35,Lexus,Hatchback,2014,5481,4.4,Petrol,Manual,2,0,Full,Black,51373.28
36,Chevrolet,SUV,2006,6595,4.7,Petrol,Manual,1,0,Full,Blue,29270.97
37,Ford,SUV,2021,5325,2.1,Hybrid,Automatic,5,0,Full,Red,43091.76
38,Land Rover,Hatchback,2017,47043,1.4,Petrol,Manual,1,0,Full,Green,39781.38
39,Tesla,Convertible,2015,10937,2.4,Diesel,Automatic,1,0,Full,Blue,90834.57
40,Honda,Coupe,2013,14479,2.2,Petrol,Manual,0,1,Full,Blue,17936.45
41,Honda,SUV,2017,9532,2.2,Petrol,Automatic,5,1,Full,White,11402.31
42,Hyundai,Sedan,2006,158308,2.0,Hybrid,Automatic,2,0,Full,Green,24182.95
43,Toyota,Truck,2016,96419,3.9,Petrol,Automatic,4,0,Full,Red,25070.86
44,Kia,Hatchback,2017,13100,2.6,Petrol,Automatic,4,0,Partial,Blue,23940.64
45,Ford,Sedan,2011,19842,5.1,Petrol,Automatic,4,0,Partial,White,24039.12
46,Ford,Hatchback,2007,11779,1.9,Diesel,Automatic,3,0,Full,Red,13606.63
47,Kia,Minivan,2021,33851,3.3,Diesel,Automatic,1,0,Partial,Gray,29700.36
48,Hyundai,Truck,2001,990,1.1,Petrol,Automatic,1,0,None,Gray,21693.93
49,Nissan,Truck,2006,55640,3.4,Petrol,Automatic,1,0,Full,Blue,27765.89
50,Nissan,SUV,2003,37028,1.3,Diesel,CVT,5,0,Full,Blue,28669.52
51,Hyundai,SUV,2017,114453,5.9,Petrol,Automatic,3,0,Partial,White,39401.85
52,Nissan,Sedan,2005,8979,5.0,Hybrid,Automatic,2,0,None,Black,16883.53
53,BMW,Minivan,2008,81509,3.5,Hybrid,Automatic,0,0,Full,White,58972.9
54,Ford,Hatchback,2008,78501,1.4,Diesel,Manual,5,0,Full,Silver,13167.42
55,Volvo,Minivan,2013,6801,4.0,Petrol,Automatic,1,0,Partial,Black,51266.45
56,Audi,Truck,2007,25421,4.8,Hybrid,Manual,2,1,Full,White,42546.94
57,Kia,Sedan,2018,9325,2.0,Hybrid,Automatic,4,0,None,Green,28699.37
58,Land Rover,Coupe,2002,14699,3.8,Diesel,Automatic,0,0,Full,Green,55147.74
59,BMW,Sedan,2017,15275,5.1,Hybrid,Automatic,4,0,Partial,Silver,69276.81
60,Porsche,Convertible,2004,40623,4.8,Hybrid,Automatic,2,0,Full,Silver,84706.89
61,BMW,Sedan,2013,26501,5.0,Diesel,Automatic,2,0,Full,Green,62195.33
62,Volvo,Minivan,2003,147569,5.4,Petrol,Automatic,4,0,None,Blue,24264.81
63,Porsche,Convertible,2006,6754,5.7,Hybrid,Automatic,5,1,Full,Green,46120.11
64,Land Rover,Convertible,2019,181894,3.0,Petrol,Manual,0,0,Full,Red,56056.15
65,Volvo,Convertible,2011,13109,3.8,Hybrid,Automatic,4,0,Partial,Blue,50605.53
66,Mercedes,Coupe,2001,74112,5.0,Hybrid,Automatic,4,0,Full,White,68304.96
67,Audi,Sedan,2010,20697,4.5,Hybrid,Automatic,5,0,Full,Green,57855.16
68,Land Rover,Minivan,2013,7720,6.0,Diesel,Automatic,4,0,Full,Gray,47675.41
69,Ford,Sedan,2021,97557,1.1,Petrol,Automatic,0,0,Partial,Green,35912.54
70,Nissan,Coupe,2022,18470,2.8,Petrol,Manual,3,0,Partial,Blue,34483.81
71,Mercedes,Truck,2015,53772,2.4,Hybrid,Manual,0,0,Partial,Red,65936.5
72,Toyota,SUV,2019,41786,2.3,Hybrid,Automatic,5,0,Full,Blue,42408.09
73,Land Rover,Minivan,2005,31909,2.1,Diesel,CVT,4,0,Full,Blue,38258.25
74,Toyota,Minivan,2022,34241,4.5,Petrol,Automatic,1,1,Full,Green,27536.27
75,Porsche,Sedan,2003,65882,1.4,Electric,Automatic,1,0,Partial,Black,55404.72
76,Mercedes,SUV,2014,4593,4.7,Electric,Automatic,2,0,Partial,Green,83783.55
77,Audi,Hatchback,2023,55158,4.5,Diesel,Automatic,3,0,None,Green,48403.73
78,Ford,Hatchback,2000,113077,2.3,Diesel,Automatic,5,0,None,Green,4267.31
79,Hyundai,Coupe,2006,2976,2.3,Hybrid,Automatic,2,0,Full,Gray,29642.49
80,Ford,Hatchback,2011,7579,4.1,Hybrid,Automatic,2,0,Full,Silver,35765.73
81,Volvo,Minivan,2009,63050,4.8,Electric,Manual,1,0,Partial,Black,49450.96
82,Ford,Hatchback,2004,28748,5.4,Petrol,Automatic,0,0,Full,Green,28729.12
83,Chevrolet,Truck,2011,25837,5.3,Diesel,Manual,2,0,Full,Green,37662.47
84,Jaguar,Truck,2017,7365,5.8,Diesel,Automatic,2,0,Partial,Red,51819.26
85,Hyundai,Truck,2009,35338,3.9,Hybrid,Automatic,3,0,Full,Blue,40215.26
86,BMW,Hatchback,2005,6764,5.5,Hybrid,Manual,1,0,Full,Silver,60166.73
87,Nissan,Coupe,2011,32372,5.0,Electric,Automatic,0,1,Full,Blue,30151.41
88,Tesla,Convertible,2006,72114,5.5,Diesel,Automatic,3,0,Partial,Silver,72880.89
89,Audi,Convertible,2017,14938,1.1,Hybrid,Automatic,0,0,Full,Silver,88439.47
90,Mercedes,SUV,2001,32771,5.8,Diesel,Automatic,0,0,Partial,Gray,76315.45
91,Jaguar,Convertible,2009,241515,3.4,Diesel,Automatic,2,0,Full,Red,51816.94
92,Audi,Convertible,2014,58021,5.0,Petrol,Automatic,3,0,Partial,Red,76643.59
93,Mercedes,Truck,2011,92054,1.6,Hybrid,Manual,2,0,Full,Blue,63472.08
94,Nissan,Truck,2016,26794,3.0,Electric,Automatic,4,0,None,Green,36576.61
95,Lexus,Hatchback,2003,73020,2.4,Petrol,Automatic,0,1,Full,Gray,22506.37
96,Lexus,SUV,2006,2067,2.5,Petrol,Automatic,3,0,None,Red,31871.77
97,Toyota,Sedan,2008,6557,1.6,Hybrid,Automatic,1,0,Partial,Silver,36644.43
98,Audi,Minivan,2018,11349,5.0,Diesel,Automatic,2,0,Full,Silver,68490.57
99,Lexus,SUV,2022,25704,1.0,Electric,Automatic,4,0,Full,Blue,60584.78
100,Chevrolet,SUV,2006,93457,2.6,Petrol,Automatic,5,0,Full,Silver,27114.05
101,Hyundai,Coupe,2022,21252,1.9,Petrol,Manual,4,1,Partial,Red,26706.09
102,Mercedes,Hatchback,2001,53155,3.9,Diesel,Automatic,4,1,Full,White,28538.38
103,Toyota,Coupe,2005,61775,2.3,Petrol,Manual,2,0,Full,Black,22610.03
104,Ford,SUV,2017,44116,2.3,Petrol,Automatic,1,1,Partial,White,23966.59
105,Mercedes,SUV,2005,22099,3.4,Petrol,Automatic,3,0,Partial,Gray,58671.16
106,Toyota,SUV,2012,43025,4.3,Petrol,Automatic,0,0,Full,White,51954.84
107,Nissan,Convertible,2018,20947,1.6,Petrol,Manual,1,0,Full,Green,36537.88
108,Audi,Minivan,2001,4380,1.9,Electric,Automatic,2,0,Full,Blue,63056.07
